mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,quarter,team
60,12,26,.462,2,10,.200,3,3,1.000,2,7,9,7,4,4,2,4,29,q2,pho
120,23,51,.451,5,22,.227,3,3,1.000,4,12,16,13,5,4,6,8,54,first_half,pho
60,10,23,.435,4,10,.400,1,3,.333,1,10,11,7,0,0,2,7,25,q3,pho
60,8,24,.333,2,12,.167,6,7,.857,5,8,13,5,3,1,3,8,24,q4,pho
120,18,47,.383,6,22,.273,7,10,.700,6,18,24,12,3,1,5,15,49,second_half,pho
240,39,86,.453,5,23,.217,23,33,.697,15,41,56,20,4,9,18,22,106,game,sac
60,13,23,.565,2,8,.250,3,4,.750,4,8,12,10,3,3,5,6,31,q1,sac
60,9,21,.429,2,6,.333,7,7,1.000,2,10,12,5,0,2,6,3,27,q2,sac
120,22,44,.500,4,14,.286,10,11,.909,6,18,24,15,3,5,11,9,58,first_half,sac
60,10,21,.476,1,4,.250,4,11,.364,4,13,17,4,0,2,4,7,25,q3,sac
60,7,21,.333,0,5,.000,9,11,.818,5,10,15,1,1,2,3,6,23,q4,sac
120,17,42,.405,1,9,.111,13,22,.591,9,23,32,5,1,4,7,13,48,second_half,sac
240,46,94,.489,14,35,.400,10,11,.909,8,36,44,34,6,3,9,20,116,game,pho
60,11,23,.478,5,8,.625,1,1,1.000,0,7,7,8,0,0,1,4,28,q1,pho
60,11,23,.478,3,8,.375,3,3,1.000,3,10,13,10,1,1,2,4,28,q2,pho
120,22,46,.478,8,16,.500,4,4,1.000,3,17,20,18,1,1,3,8,56,first_half,pho
60,12,24,.500,4,11,.364,6,6,1.000,4,10,14,8,2,2,5,6,34,q3,pho
60,12,24,.500,2,8,.250,0,1,.000,1,9,10,8,3,0,1,6,26,q4,pho
120,24,48,.500,6,19,.316,6,7,.857,5,19,24,16,5,2,6,12,60,second_half,pho
240,36,76,.474,10,23,.435,18,25,.720,3,36,39,21,5,4,15,23,100,game,sac
60,12,19,.632,3,7,.429,6,8,.750,1,11,12,9,1,3,1,2,33,q1,sac
60,7,20,.350,1,4,.250,5,6,.833,1,8,9,3,1,0,4,6,20,q2,sac
120,19,39,.487,4,11,.364,11,14,.786,2,19,21,12,2,3,5,8,53,first_half,sac
60,9,20,.450,3,4,.750,4,5,.800,1,7,8,2,3,0,7,11,25,q3,sac
60,8,17,.471,3,8,.375,3,6,.500,0,10,10,7,0,1,3,4,22,q4,sac
120,17,37,.459,6,12,.500,7,11,.636,1,17,18,9,3,1,10,15,47,second_half,sac
240,44,81,.543,11,28,.393,16,20,.800,7,32,39,27,7,5,19,18,115,game,den
60,16,24,.667,1,4,.250,1,1,1.000,2,6,8,10,3,0,3,4,34,q1,den
60,10,19,.526,4,8,.500,4,7,.571,3,6,9,7,2,1,7,5,28,q2,den
120,26,43,.605,5,12,.417,5,8,.625,5,12,17,17,5,1,10,9,62,first_half,den
60,12,18,.667,4,7,.571,10,11,.909,0,9,9,8,2,2,3,3,38,q3,den
60,6,20,.300,2,9,.222,1,1,1.000,2,11,13,2,0,2,6,6,15,q4,den
120,18,38,.474,6,16,.375,11,12,.917,2,20,22,10,2,4,9,9,53,second_half,den
240,46,94,.489,16,33,.485,17,22,.773,12,25,37,33,9,2,10,18,125,game,sac
60,10,19,.526,4,7,.571,8,9,.889,2,6,8,7,1,0,5,3,32,q1,sac
60,15,24,.625,7,11,.636,5,6,.833,4,3,7,12,3,0,3,5,42,q2,sac
120,25,43,.581,11,18,.611,13,15,.867,6,9,15,19,4,0,8,8,74,first_half,sac
60,9,24,.375,1,5,.200,3,6,.500,3,5,8,5,1,0,2,8,22,q3,sac
60,12,27,.444,4,10,.400,1,1,1.000,3,11,14,9,4,2,0,2,29,q4,sac
120,21,51,.412,5,15,.333,4,7,.571,6,16,22,14,5,2,2,10,51,second_half,sac
240,43,84,.512,15,34,.441,17,21,.810,12,38,50,30,6,6,23,28,118,game,cho
60,12,24,.500,5,11,.455,7,7,1.000,4,8,12,9,3,1,5,6,36,q1,cho
60,12,22,.545,3,8,.375,5,8,.625,3,7,10,8,1,2,4,8,32,q2,cho
120,24,46,.522,8,19,.421,12,15,.800,7,15,22,17,4,3,9,14,68,first_half,cho
60,11,20,.550,5,10,.500,3,4,.750,2,15,17,9,2,0,6,5,30,q3,cho
60,8,18,.444,2,5,.400,2,2,1.000,3,8,11,4,0,3,8,9,20,q4,cho
120,19,38,.500,7,15,.467,5,6,.833,5,23,28,13,2,3,14,14,50,second_half,cho
240,34,87,.391,12,42,.286,19,33,.576,13,26,39,24,10,6,14,16,99,game,dal
60,11,19,.579,4,9,.444,3,6,.500,1,6,7,9,3,1,5,7,29,q1,dal
60,9,21,.429,3,10,.300,7,10,.700,3,7,10,7,0,1,3,6,28,q2,dal
120,20,40,.500,7,19,.368,10,16,.625,4,13,17,16,3,2,8,13,57,first_half,dal
60,4,24,.167,1,15,.067,3,6,.500,5,6,11,1,3,2,3,2,12,q3,dal
60,10,23,.435,4,8,.500,6,11,.545,4,7,11,7,4,2,3,1,30,q4,dal
120,14,47,.298,5,23,.217,9,17,.529,9,13,22,8,7,4,6,3,42,second_half,dal
240,29,78,.372,7,33,.212,18,25,.720,5,36,41,20,10,2,14,24,83,game,mia
60,6,18,.333,0,7,.000,4,6,.667,0,8,8,3,3,0,2,7,16,q1,mia
60,3,18,.167,0,7,.000,9,12,.750,4,9,13,1,3,1,6,4,15,q2,mia
120,9,36,.250,0,14,.000,13,18,.722,4,17,21,4,6,1,8,11,31,first_half,mia
60,8,20,.400,4,7,.571,2,3,.667,1,8,9,7,2,0,4,7,22,q3,mia
60,12,22,.545,3,12,.250,3,4,.750,0,11,11,9,2,1,2,6,30,q4,mia
