ts_pct,efg_pct,fg3a_per_fga_pct,fta_per_fga_pct,orb_pct,drb_pct,trb_pct,ast_pct,stl_pct,blk_pct,tov_pct,off_rtg,def_rtg,home_team,home_score,away_ts_pct,away_efg_pct,away_fg3a_per_fga_pct,away_fta_per_fga_pct,away_orb_pct,away_drb_pct,away_trb_pct,away_ast_pct,away_stl_pct,away_blk_pct,away_tov_pct,away_off_rtg,away_def_rtg,away_team,away_score,date,total_game_score,line,away_line,over_under
0.553,0.511,0.511,0.272,19.2,77.3,45.8,68.3,9.2,3.7,14.9,104.9,119.6,atl,114,0.597,0.562,0.443,0.278,22.7,80.8,54.2,54.2,9.2,13.3,9.9,119.6,104.9,tor,130,20200128,244,-107,-103,234.5
0.503,0.472,0.533,0.289,33.3,66.7,47.1,71.4,10.4,0,13.6,106.4,134.5,chi,102,0.685,0.655,0.405,0.274,33.3,66.7,52.9,59.6,6.3,11.9,13.7,134.5,106.4,tor,129,20200202,231,-103,-107,216
0.663,0.64,0.476,0.195,21.1,82.9,53.2,67.4,6.1,9.3,16.8,120.8,121.8,ind,118,0.616,0.57,0.372,0.279,17.1,78.9,46.8,62.8,12.3,0,9.4,121.8,120.8,tor,119,20200205,237,-105,-105,216
0.575,0.533,0.478,0.261,27.1,71.7,48.9,65.9,5.2,8.3,8.1,123.5,124.5,brk,118,0.571,0.547,0.368,0.221,28.3,72.9,51.1,48.9,6.3,10.4,6.3,124.5,123.5,tor,119,20200208,237,-113,102,218
0.621,0.558,0.465,0.407,23.8,75.7,48.1,61.5,5.5,7.1,18.5,115.9,126.1,min,126,0.691,0.669,0.371,0.258,24.3,76.2,51.9,56.9,13.8,8.7,15.4,126.1,115.9,tor,137,20200210,263,-103,-107,235.5
0.495,0.446,0.37,0.25,19.6,77.4,41.5,76.3,11.5,7,14.3,96.9,113.2,pho,101,0.658,0.613,0.463,0.275,22.6,80.4,58.5,57.1,6.7,22.4,19.7,113.2,96.9,tor,118,20200221,219,102,-112,229
0.395,0.368,0.347,0.179,20.3,73,40.6,74.2,12.5,8.3,14.2,77.9,122.1,ind,81,0.636,0.603,0.478,0.196,27,79.7,59.4,68.1,8.7,16.1,14.5,122.1,77.9,tor,127,20200223,208,-114,103,219.5
0.541,0.464,0.5,0.429,19,83.3,55.2,71.9,9.7,25.6,11.5,105,94.3,mil,108,0.484,0.451,0.571,0.231,16.7,81,44.8,65.6,3.9,11.9,13.8,94.3,105,tor,97,20200225,205,-106,-104,232.5
0.556,0.519,0.385,0.321,26.2,77,56.3,67.6,3.2,15.4,16,104.7,101.6,cho,99,0.445,0.4,0.453,0.305,23,73.8,43.7,57.6,11.6,6.3,4.4,101.6,104.7,tor,96,20200228,195,-104,-106,214.5
0.477,0.415,0.488,0.402,15.4,82.1,44,58.6,7.9,24,15,90.9,105.7,lal,92,0.561,0.5,0.405,0.31,17.9,84.6,56,68.6,6.9,11.9,12.8,105.7,90.9,tor,107,20200801,199,-109,-103,224
