home_team,away_team
nop,tor
mil,bos
brk,bos
was,phi
cho,cle
phi,cle
nyk,ind
bos,ind
nop,mia
gsw,mil
orl,was
orl,was
cle,det
okc,cho
brk,cho
phi,nyk
mil,nyk
gsw,brk
atl,chi
ind,chi
gsw,chi
mia,orl
uta,por
hou,por
min,uta
sas,nop
tor,sas
det,min
sac,den
lac,den
dal,lac
lac,lal
dal,lal
min,lal
pho,sac
pho,sac
sas,mem
atl,mem
dal,pho
