away_team_x,total,team,money_line,away_money_line,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,away_fg,away_fga,away_fg_pct,away_fg3,away_fg3a,away_fg3_pct,away_ft,away_fta,away_ft_pct,away_orb,away_drb,away_trb,away_ast,away_stl,away_blk,away_tov,away_pf,away_pts,ts_pct,efg_pct,fg3a_per_fga_pct,fta_per_fga_pct,orb_pct,drb_pct,trb_pct,ast_pct,stl_pct,blk_pct,tov_pct,usg_pct,off_rtg,def_rtg,score,away_ts_pct,away_efg_pct,away_fg3a_per_fga_pct,away_fta_per_fga_pct,away_orb_pct,away_drb_pct,away_trb_pct,away_ast_pct,away_stl_pct,away_blk_pct,away_tov_pct,away_usg_pct,away_off_rtg,away_def_rtg,away_score,date
brk,235,gsw,+281,-330,240,37,99,.374,10,33,.303,15,23,.652,13,34,47,26,6,6,18,24,99,42,92,.457,15,35,.429,26,32,.813,13,44,57,24,11,7,20,22,125,.454,.424,.333,.232,22.8,72.3,45.2,70.3,5.4,10.5,14.2,100.0,89.6,113.1,99,.589,.538,.380,.348,27.7,77.2,54.8,57.1,10.0,10.6,15.9,100.0,113.1,89.6,125,20201222
lal,219½,lac,+123,-137,240,44,93,.473,14,40,.350,14,19,.737,11,29,40,22,10,3,16,29,116,38,81,.469,9,29,.310,24,31,.774,8,37,45,22,4,2,19,20,109,.572,.548,.430,.204,22.9,78.4,47.1,50.0,9.7,5.8,13.6,100.0,112.1,105.3,116,.576,.525,.358,.383,21.6,77.1,52.9,57.9,3.9,3.8,16.7,100.0,105.3,112.1,109,20201222
brk,227½,mem,-123,+111,265,42,98,.429,10,29,.345,22,29,.759,16,40,56,20,10,4,19,17,116,41,100,.410,14,42,.333,15,17,.882,13,37,50,28,13,6,17,20,111,.524,.480,.296,.296,30.2,75.5,52.8,47.6,9.1,6.9,14.6,100.0,106.0,101.5,116,.516,.480,.420,.170,24.5,69.8,47.2,68.3,11.9,8.7,13.7,100.0,101.5,106.0,111,20201228
atl,223½,det,+402,-498,240,43,98,.439,13,41,.317,21,24,.875,17,31,48,24,7,4,8,25,120,40,82,.488,20,42,.476,28,32,.875,8,37,45,30,5,7,13,22,128,.553,.505,.418,.245,31.5,79.5,51.6,55.8,7.2,10.0,6.9,100.0,122.7,130.8,120,.666,.610,.512,.390,20.5,68.5,48.4,75.0,5.1,12.3,11.9,100.0,130.8,122.7,128,20201228
okc,218,uta,-401,+333,240,43,86,.500,13,36,.361,11,14,.786,8,35,43,24,9,6,16,19,110,40,86,.465,15,38,.395,14,19,.737,7,30,37,21,9,5,15,16,109,.597,.576,.419,.163,21.1,83.3,53.8,55.8,9.1,12.5,14.8,100.0,110.9,109.9,110,.578,.552,.442,.221,16.7,78.9,46.3,52.5,9.1,10.0,13.7,100.0,109.9,110.9,109,20201228
den,222,hou,+217,-248,240,39,86,.453,16,39,.410,17,23,.739,5,33,38,25,8,3,15,25,111,46,87,.529,14,31,.452,18,32,.563,11,41,52,31,8,7,14,18,124,.577,.547,.453,.267,10.9,75.0,42.2,64.1,7.7,5.4,13.5,100.0,107.0,119.5,111,.613,.609,.356,.368,25.0,89.1,57.8,67.4,7.7,14.9,12.2,100.0,119.5,107.0,124,20201228
lal,230,por,+209,-238,240,43,92,.467,16,46,.348,13,15,.867,7,38,45,27,9,6,9,16,115,41,87,.471,10,27,.370,15,18,.833,6,35,41,20,6,5,14,14,107,.583,.554,.500,.163,16.7,86.4,52.3,62.8,9.0,10.0,8.4,100.0,115.1,107.1,115,.564,.529,.310,.207,13.6,83.3,47.7,48.8,6.0,10.9,12.9,100.0,107.1,115.1,107,20201228
brk,224½,uta,-176,+158,240,33,85,.388,11,34,.324,19,27,.704,10,32,42,17,6,3,16,18,96,52,93,.559,14,36,.389,12,16,.750,8,43,51,31,11,4,12,22,130,.495,.453,.400,.318,18.9,80.0,45.2,51.5,5.9,5.3,14.2,100.0,94.2,127.5,96,.650,.634,.387,.172,20.0,81.1,54.8,59.6,10.8,7.8,10.7,100.0,127.5,94.2,130,20210105
mem,218½,lal,-436,+359,240,38,87,.437,9,31,.290,9,11,.818,9,43,52,24,7,8,17,14,94,36,87,.414,10,26,.385,10,13,.769,5,33,38,24,14,4,13,14,92,.512,.489,.356,.126,21.4,89.6,57.8,63.2,7.1,13.1,15.6,100.0,95.6,93.6,94,.496,.471,.299,.149,10.4,78.6,42.2,66.7,14.2,7.1,12.3,100.0,93.6,95.6,92,20210105
den,226½,min,+458,-579,240,42,91,.462,11,34,.324,21,27,.778,10,32,42,24,8,4,14,31,116,41,79,.519,8,25,.320,33,45,.733,10,32,42,22,9,2,14,27,123,.564,.522,.374,.297,23.8,76.2,50.0,57.1,7.8,7.4,12.0,100.0,113.4,120.2,116,.622,.570,.316,.570,23.8,76.2,50.0,53.7,8.8,3.5,12.4,100.0,120.2,113.4,123,20210105
lac,226,sas,+249,-289,240,44,96,.458,20,40,.500,8,11,.727,11,33,44,23,9,3,10,13,116,43,86,.500,15,35,.429,12,13,.923,7,38,45,29,6,7,13,16,113,.575,.563,.417,.115,22.4,82.5,49.4,52.3,9.3,5.9,9.0,100.0,119.6,116.5,116,.616,.587,.407,.151,17.5,77.6,50.6,67.4,6.2,12.5,12.4,100.0,116.5,119.6,113,20210105
por,232½,chi,+360,-438,240,40,91,.440,16,41,.390,15,18,.833,11,41,52,27,5,5,15,19,111,39,94,.415,19,51,.373,11,17,.647,10,36,46,23,8,3,11,16,108,.561,.527,.451,.198,23.4,80.4,53.1,67.5,5.0,11.6,13.2,100.0,110.6,107.6,111,.532,.516,.543,.181,19.6,76.6,46.9,59.0,8.0,6.0,9.8,100.0,107.6,110.6,108,20210105
